,symbol,timestamp,close,high,low,open,volume,change_in_price,down_days,up_days,RSI,low_14,high_14,k_percent,r_percent,MACD,MACD_EMA,Price_Rate_Of_Change,On Balance Volume,Prediction
14,ABBV,2020-03-23,52.26048278808594,54.89376292857089,50.68051408563087,54.59397188718647,19219000.0,-3.5002288818359375,3.5002288818359375,0.0,18.560113614640045,50.68051408563087,74.42864257539432,6.653024060974359,-93.34697593902564,-2.3594263398441484,-1.4419259554897732,-0.263109790830502,-103210600.0,-1.0
15,ABBV,2020-03-24,54.68309020996094,58.19143053047483,54.35899300717379,55.2259556518264,18376300.0,2.422607421875,0.0,2.422607421875,29.42115503402738,50.68051408563087,74.30711055272133,16.94097636917474,-83.05902363082525,-2.46002062488855,-1.651442248746009,-0.2045964449651877,-84834300.0,1.0
16,ABBV,2020-03-25,55.023399353027344,57.26776135094943,53.11123252849195,55.03149730194966,20017300.0,0.34030914306640625,0.0,0.34030914306640625,30.914498500138734,50.68051408563087,72.72713498971957,19.698643553085525,-80.30135644691447,-2.4851492554604704,-1.8220248282974194,-0.13611498395883415,-64817000.0,1.0
17,ABBV,2020-03-26,59.82001495361328,60.20892665464184,55.71209879436392,55.76071121158248,15979400.0,4.7966156005859375,0.0,4.7966156005859375,48.60121508075997,50.68051408563087,71.47937858979446,43.942306880035844,-56.057693119964156,-2.171459537881951,-1.8931938371004284,-0.1351763541255918,-48837600.0,1.0
18,ABBV,2020-03-27,58.88014221191406,60.816615412611405,57.292072475615534,58.03749182867875,12293300.0,-0.9398727416992188,0.9398727416992188,0.0,45.94200706199736,50.68051408563087,71.47937858979446,39.42344123950498,-60.576558760495026,-1.9642658105634254,-1.9076160781917633,-0.02154306241630699,-61130900.0,-1.0
19,ABBV,2020-03-30,60.962459564208984,61.77269961331941,59.52833739720557,59.56884569067649,10671600.0,2.082317352294922,0.0,2.082317352294922,52.57538536179037,50.68051408563087,70.19919357164298,52.677464609973136,-47.322535390026864,-1.6451340129489438,-1.8545073633489564,0.03040276054272595,-50459300.0,1.0
20,ABBV,2020-03-31,61.7321891784668,63.13390095308594,60.314269141708714,61.09209882007625,20474400.0,0.7697296142578125,0.0,0.7697296142578125,54.9340312520634,50.68051408563087,69.93991440754338,57.38327729893962,-42.616722701060375,-1.3279217020233105,-1.7482098091952598,0.0726456622131082,-29984900.0,1.0
21,ABBV,2020-04-01,59.487823486328125,59.949660071435886,57.875447504164676,58.434515121478675,12948000.0,-2.244365692138672,2.244365692138672,0.0,47.05973510925161,50.68051408563087,69.93991440754338,45.72992540518865,-54.27007459481135,-1.2170535774546494,-1.6411888878283425,0.03321157799817276,-42932900.0,-1.0
22,ABBV,2020-04-02,60.87332534790039,61.173116355430075,57.899746208653944,58.9692626976687,8077800.0,1.3855018615722656,0.0,1.3855018615722656,51.96425196003658,50.68051408563087,66.58553102746194,64.08551024841644,-35.91448975158356,-1.0225135622346855,-1.5167190826645678,0.09168845814312543,-34855100.0,1.0
23,ABBV,2020-04-03,59.447303771972656,61.124500120065186,58.78290730030412,60.48440985636844,8062700.0,-1.4260215759277344,1.4260215759277344,0.0,46.81374054053042,50.68051408563087,63.13390095308594,70.3968308352516,-29.603169164748387,-0.9573842533334798,-1.404321333434637,0.13751922294765206,-42917800.0,-1.0
24,ABBV,2020-04-06,61.35948944091797,62.59915588461804,59.98207747330762,61.36758739165721,10266500.0,1.9121856689453125,0.0,1.9121856689453125,53.88560684557423,50.68051408563087,63.13390095308594,85.7515748040791,-14.248425195920897,-0.762572577090161,-1.2754848516992474,0.12209257387105144,-32651300.0,1.0
25,ABBV,2020-04-07,61.083988189697266,63.66865555981957,60.970555093357106,63.5066038638764,11591700.0,-0.2755012512207031,0.2755012512207031,0.0,52.720264317017154,50.68051408563087,63.66865555981957,80.09979044916622,-19.900209550833786,-0.6213295374150789,-1.1442571775335464,0.11014566362549671,-44243000.0,-1.0
26,ABBV,2020-04-08,63.652435302734375,63.99274070925708,60.58972991550274,61.934730920956056,12218500.0,2.5684471130371094,0.0,2.5684471130371094,61.64337305409265,50.68051408563087,63.99274070925708,97.44366276097841,-2.556337239021584,-0.32196405934796957,-0.9793999535872737,0.06406585408066001,-32024500.0,1.0
27,ABBV,2020-04-09,64.61663818359375,64.8840188596713,63.652450632572545,63.652450632572545,9425900.0,0.964202880859375,0.0,0.964202880859375,64.54205404819287,50.68051408563087,64.8840188596713,98.11750212126348,-1.8824978787365134,-0.015842140622652323,-0.7863149102034244,0.09742666637987396,-22598600.0,1.0
28,ABBV,2020-04-13,65.06227111816406,65.89681728607388,63.73347808120546,65.35395799765647,9293500.0,0.4456329345703125,0.0,0.4456329345703125,65.91568888698274,53.11123252849195,65.89681728607388,93.47275714225796,-6.527242857742034,0.25531257236672644,-0.5776665459841462,0.06725141313625871,-13305100.0,1.0
29,ABBV,2020-04-14,67.53746795654297,68.12954224119035,66.02439480585231,66.29576323195474,11072700.0,2.4751968383789062,0.0,2.4751968383789062,72.6949338213799,53.11123252849195,68.12954224119035,96.0576503216819,-3.9423496783181013,0.6438031476009556,-0.33306981117562806,0.09403973608149885,-2232400.0,1.0
30,ABBV,2020-04-15,67.28254699707031,68.28578324462109,65.4734367719956,66.20530460363497,8977300.0,-0.25492095947265625,0.25492095947265625,0.0,71.01640350900189,55.71209879436392,68.28578324462109,92.02114343238306,-7.978856567616939,0.9211223878428285,-0.08198270674800148,0.13103057153425057,-11209700.0,-1.0
31,ABBV,2020-04-16,67.31542205810547,68.84494472095183,67.08517241403523,68.03084597260853,10326900.0,0.03287506103515625,0.0,0.03287506103515625,71.11564576669687,57.292072475615534,68.84494472095183,86.7606718886396,-13.239328111360393,1.129568515164351,0.16051966780988464,0.10582790858536972,-882800.0,1.0
32,ABBV,2020-04-17,68.62294006347656,69.7248575625133,67.84173471867418,69.07522080446824,10734800.0,1.3075180053710938,0.0,1.3075180053710938,75.03804639261242,57.875447504164676,69.7248575625133,90.70065519202483,-9.299344807975176,1.376267423659172,0.4038234310605032,0.1543490740421083,9852000.0,1.0
33,ABBV,2020-04-20,69.06698608398438,70.16890342789338,67.94862502173365,68.69694281987465,9126300.0,0.4440460205078125,0.0,0.4440460205078125,76.29923451243407,57.875447504164676,70.16890342789338,91.03655350663358,-8.963446493366428,1.5863334737344985,0.6404454211984324,0.12561213780124136,18978300.0,1.0
34,ABBV,2020-04-21,66.08195495605469,68.22822102696746,65.80236154290925,67.84995275233989,9627500.0,-2.9850311279296875,2.9850311279296875,0.0,54.8167903670151,57.875447504164676,70.16890342789338,66.75508907181984,-33.244910928180154,1.5089191951969383,0.8142106635545404,0.0818212254058488,9350800.0,-1.0
